,C,D,timestamp,sample_number,ads_status,ads_gpio,loff_statn,loff_statp,extra,channel_data,data_hex,data_raw
0,200,b'\xcbihc\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1667787211,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",cb:69:68:63:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,b'\xcbihc\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
1,200,b'N\x89hc\x01\x00\x00\x00\xc0\x00\x00\xfc\xc0\xdf\xf4\xdf\x91\xfd\x01\xce\xfeX\x96\xffj\xb3\xfeUQ\xffmQ\xfbR\xac',1667795278,1,12582912,0,0,0,12,"[-212769, -729199, -196146, -108394, -38221, -109231, -37551, -306516]",4e:89:68:63:01:00:00:00:c0:00:00:fc:c0:df:f4:df:91:fd:01:ce:fe:58:96:ff:6a:b3:fe:55:51:ff:6d:51:fb:52:ac,b'N\x89hc\x01\x00\x00\x00\xc0\x00\x00\xfc\xc0\xdf\xf4\xdf\x91\xfd\x01\xce\xfeX\x96\xffj\xb3\xfeUQ\xffmQ\xfbR\xac'
2,200,b'\xee\x98hc\x02\x00\x00\x00\xc0\x00\x00\xfc\xb7\x8c\xf4\xde\xe2\xfd\x02\xb5\xfeU\x97\xffk\xcf\xfeP\xff\xffj\xab\xfbH\xf9',1667799278,2,12582912,0,0,0,12,"[-215156, -729374, -195915, -109161, -37937, -110337, -38229, -308999]",ee:98:68:63:02:00:00:00:c0:00:00:fc:b7:8c:f4:de:e2:fd:02:b5:fe:55:97:ff:6b:cf:fe:50:ff:ff:6a:ab:fb:48:f9,b'\xee\x98hc\x02\x00\x00\x00\xc0\x00\x00\xfc\xb7\x8c\xf4\xde\xe2\xfd\x02\xb5\xfeU\x97\xffk\xcf\xfeP\xff\xffj\xab\xfbH\xf9'
3,200,b'\x8e\xa8hc\x03\x00\x00\x00\xc0\x00\x00\xfc\xac\xaf\xf4\xd13\xfd\x01Q\xfeQ\xca\xffm\x92\xfeK?\xffh\x06\xfbH3',1667803278,3,12582912,0,0,0,12,"[-217937, -732877, -196271, -110134, -37486, -111809, -38906, -309197]",8e:a8:68:63:03:00:00:00:c0:00:00:fc:ac:af:f4:d1:33:fd:01:51:fe:51:ca:ff:6d:92:fe:4b:3f:ff:68:06:fb:48:33,b'\x8e\xa8hc\x03\x00\x00\x00\xc0\x00\x00\xfc\xac\xaf\xf4\xd13\xfd\x01Q\xfeQ\xca\xffm\x92\xfeK?\xffh\x06\xfbH3'
4,200,b'-\xb8hc\x04\x00\x00\x00\xc0\x00\x00\xfc\xac2\xf4\xcb\\\xfd\x06w\xfeSf\xfft\x8b\xfeI\xeb\xffiM\xfbK!',1667807277,4,12582912,0,0,0,12,"[-218062, -734372, -194953, -109722, -35701, -112149, -38579, -308447]",2d:b8:68:63:04:00:00:00:c0:00:00:fc:ac:32:f4:cb:5c:fd:06:77:fe:53:66:ff:74:8b:fe:49:eb:ff:69:4d:fb:4b:21,b'-\xb8hc\x04\x00\x00\x00\xc0\x00\x00\xfc\xac2\xf4\xcb\\\xfd\x06w\xfeSf\xfft\x8b\xfeI\xeb\xffiM\xfbK!'
5,200,b'\xcd\xc7hc\x05\x00\x00\x00\xc0\x00\x00\xfc\xb0\xce\xf4\xc9S\xfd\x0e\xd9\xfeW[\xff}\xfe\xfeJ\xa9\xfflc\xfbO\xef',1667811277,5,12582912,0,0,0,12,"[-216882, -734893, -192807, -108709, -33282, -111959, -37789, -307217]",cd:c7:68:63:05:00:00:00:c0:00:00:fc:b0:ce:f4:c9:53:fd:0e:d9:fe:57:5b:ff:7d:fe:fe:4a:a9:ff:6c:63:fb:4f:ef,b'\xcd\xc7hc\x05\x00\x00\x00\xc0\x00\x00\xfc\xb0\xce\xf4\xc9S\xfd\x0e\xd9\xfeW[\xff}\xfe\xfeJ\xa9\xfflc\xfbO\xef'
6,200,"b""l\xd7hc\x06\x00\x00\x00\xc0\x00\x00\xfc\xa5&\xf4\xbb'\xfd\r~\xfeS\x02\xff\x7f\xc5\xfeD\xb8\xffi\x87\xfbO\xa4""",1667815276,6,12582912,0,0,0,12,"[-219866, -738521, -193154, -109822, -32827, -113480, -38521, -307292]",6c:d7:68:63:06:00:00:00:c0:00:00:fc:a5:26:f4:bb:27:fd:0d:7e:fe:53:02:ff:7f:c5:fe:44:b8:ff:69:87:fb:4f:a4,"b""l\xd7hc\x06\x00\x00\x00\xc0\x00\x00\xfc\xa5&\xf4\xbb'\xfd\r~\xfeS\x02\xff\x7f\xc5\xfeD\xb8\xffi\x87\xfbO\xa4"""
7,200,b'\x0c\xe7hc\x07\x00\x00\x00\xc0\x00\x00\xfc\x98\xab\xf4\xacQ\xfd\x0b\xbf\xfeNb\xff\x81G\xfe>\x9e\xfff_\xfbOD',1667819276,7,12582912,0,0,0,12,"[-223061, -742319, -193601, -111006, -32441, -115042, -39329, -307388]",0c:e7:68:63:07:00:00:00:c0:00:00:fc:98:ab:f4:ac:51:fd:0b:bf:fe:4e:62:ff:81:47:fe:3e:9e:ff:66:5f:fb:4f:44,b'\x0c\xe7hc\x07\x00\x00\x00\xc0\x00\x00\xfc\x98\xab\xf4\xacQ\xfd\x0b\xbf\xfeNb\xff\x81G\xfe>\x9e\xfff_\xfbOD'
8,200,b'\xac\xf6hc\x08\x00\x00\x00\xc0\x00\x00\xfc\x96\x9e\xf4\xa5\x17\xfd\x10\xa0\xfeO\x0c\xff\x87\xfe\xfe<\xda\xffg\x11\xfbRj',1667823276,8,12582912,0,0,0,12,"[-223586, -744169, -192352, -110836, -30722, -115494, -39151, -306582]",ac:f6:68:63:08:00:00:00:c0:00:00:fc:96:9e:f4:a5:17:fd:10:a0:fe:4f:0c:ff:87:fe:fe:3c:da:ff:67:11:fb:52:6a,b'\xac\xf6hc\x08\x00\x00\x00\xc0\x00\x00\xfc\x96\x9e\xf4\xa5\x17\xfd\x10\xa0\xfeO\x0c\xff\x87\xfe\xfe<\xda\xffg\x11\xfbRj'
9,200,b'K\x06ic\t\x00\x00\x00\xc0\x00\x00\xfc\x9c\x11\xf4\xa3~\xfd\x1a\x99\xfeS\x9a\xff\x91x\xfe>\x8b\xffj\xdb\xfbXD',1667827275,9,12582912,0,0,0,12,"[-222191, -744578, -189799, -109670, -28296, -115061, -38181, -305084]",4b:06:69:63:09:00:00:00:c0:00:00:fc:9c:11:f4:a3:7e:fd:1a:99:fe:53:9a:ff:91:78:fe:3e:8b:ff:6a:db:fb:58:44,b'K\x06ic\t\x00\x00\x00\xc0\x00\x00\xfc\x9c\x11\xf4\xa3~\xfd\x1a\x99\xfeS\x9a\xff\x91x\xfe>\x8b\xffj\xdb\xfbXD'
10,200,b'\xeb\x15ic\n\x00\x00\x00\xc0\x00\x00\xfc\x93!\xf4\x97\x05\xfd\x1b\xf0\xfeQS\xff\x909\xfe:\x8f\xffi\xb1\xfbZo',1667831275,10,12582912,0,0,0,12,"[-224479, -747771, -189456, -110253, -28615, -116081, -38479, -304529]",eb:15:69:63:0a:00:00:00:c0:00:00:fc:93:21:f4:97:05:fd:1b:f0:fe:51:53:ff:90:39:fe:3a:8f:ff:69:b1:fb:5a:6f,b'\xeb\x15ic\n\x00\x00\x00\xc0\x00\x00\xfc\x93!\xf4\x97\x05\xfd\x1b\xf0\xfeQS\xff\x909\xfe:\x8f\xffi\xb1\xfbZo'
11,200,b'\x8a%ic\x0b\x00\x00\x00\xc0\x00\x00\xfc\x85 \xf4\x86\xbd\xfd\x18\xa7\xfeM.\xff\x8c\x1b\xfe4\x92\xffg\x00\xfbY\xb0',1667835274,11,12582912,0,0,0,12,"[-228064, -751939, -190297, -111314, -29669, -117614, -39168, -304720]",8a:25:69:63:0b:00:00:00:c0:00:00:fc:85:20:f4:86:bd:fd:18:a7:fe:4d:2e:ff:8c:1b:fe:34:92:ff:67:00:fb:59:b0,b'\x8a%ic\x0b\x00\x00\x00\xc0\x00\x00\xfc\x85 \xf4\x86\xbd\xfd\x18\xa7\xfeM.\xff\x8c\x1b\xfe4\x92\xffg\x00\xfbY\xb0'
12,200,b'*5ic\x0c\x00\x00\x00\xc0\x00\x00\xfc\x81?\xf4~\x00\xfd\x19\xc3\xfeNX\xff\x8c\xb5\xfe4I\xffh!\xfbZ\x8b',1667839274,12,12582912,0,0,0,12,"[-229057, -754176, -190013, -111016, -29515, -117687, -38879, -304501]",2a:35:69:63:0c:00:00:00:c0:00:00:fc:81:3f:f4:7e:00:fd:19:c3:fe:4e:58:ff:8c:b5:fe:34:49:ff:68:21:fb:5a:8b,b'*5ic\x0c\x00\x00\x00\xc0\x00\x00\xfc\x81?\xf4~\x00\xfd\x19\xc3\xfeNX\xff\x8c\xb5\xfe4I\xffh!\xfbZ\x8b'
13,200,"b'\xcaDic\r\x00\x00\x00\xc0\x00\x00\xfc\x86\xb8\xf4|,\xfd B\xfeT_\xff\x91\xb1\xfe8\x9f\xffl\xd3\xfb^M'",1667843274,13,12582912,0,0,0,12,"[-227656, -754644, -188350, -109473, -28239, -116577, -37677, -303539]",ca:44:69:63:0d:00:00:00:c0:00:00:fc:86:b8:f4:7c:2c:fd:20:42:fe:54:5f:ff:91:b1:fe:38:9f:ff:6c:d3:fb:5e:4d,"b'\xcaDic\r\x00\x00\x00\xc0\x00\x00\xfc\x86\xb8\xf4|,\xfd B\xfeT_\xff\x91\xb1\xfe8\x9f\xffl\xd3\xfb^M'"
14,200,b'jTic\x0e\x00\x00\x00\xc0\x00\x00\xfc\x815\xf4r&\xfd\x1f\xc6\xfeU\x08\xff\x91\x14\xfe8\\\xffm\x94\xfb^4',1667847274,14,12582912,0,0,0,12,"[-229067, -757210, -188474, -109304, -28396, -116644, -37484, -303564]",6a:54:69:63:0e:00:00:00:c0:00:00:fc:81:35:f4:72:26:fd:1f:c6:fe:55:08:ff:91:14:fe:38:5c:ff:6d:94:fb:5e:34,b'jTic\x0e\x00\x00\x00\xc0\x00\x00\xfc\x815\xf4r&\xfd\x1f\xc6\xfeU\x08\xff\x91\x14\xfe8\\\xffm\x94\xfb^4'
