,C,D,timestamp,sample_number,ads_status,ads_gpio,loff_statn,loff_statp,extra,channel_data,data_hex,data_raw
0,200,b'\xdfW@\x15\x01\x00\x00\x00\xc0\x00\x00\xe5\xaaj\xb6\x7f\xec\xe1\x87<\xe9\xabt\xf0\x94\x89\xf3V\x80\xf4pW\xd2\xe4\xc2',356538335,1,12582912,0,0,0,12,"[-1725846, -4816916, -1996996, -1463436, -1010551, -829824, -757673, -2956094]",df:57:40:15:01:00:00:00:c0:00:00:e5:aa:6a:b6:7f:ec:e1:87:3c:e9:ab:74:f0:94:89:f3:56:80:f4:70:57:d2:e4:c2,b'\xdfW@\x15\x01\x00\x00\x00\xc0\x00\x00\xe5\xaaj\xb6\x7f\xec\xe1\x87<\xe9\xabt\xf0\x94\x89\xf3V\x80\xf4pW\xd2\xe4\xc2'
1,200,b'~g@\x15\x02\x00\x00\x00\xc0\x00\x00\xe5\xa4\xb1\xb6\xa6\xd9\xe1\x89\xe3\xe9\xa9\xa5\xf0\x94\t\xf3S\x8a\xf4e\xf3\xd2pK',356542334,2,12582912,0,0,0,12,"[-1727311, -4806951, -1996317, -1463899, -1010679, -830582, -760333, -2985909]",7e:67:40:15:02:00:00:00:c0:00:00:e5:a4:b1:b6:a6:d9:e1:89:e3:e9:a9:a5:f0:94:09:f3:53:8a:f4:65:f3:d2:70:4b,b'~g@\x15\x02\x00\x00\x00\xc0\x00\x00\xe5\xa4\xb1\xb6\xa6\xd9\xe1\x89\xe3\xe9\xa9\xa5\xf0\x94\t\xf3S\x8a\xf4e\xf3\xd2pK'
2,200,b'\x1ew@\x15\x03\x00\x00\x00\xc0\x00\x00\xe5\x9d{\xb6\xa7P\xe1\x82\xe1\xe9\xa2\\\xf0\x93D\xf3R\x1c\xf4e\xeb\xd2k\xfc',356546334,3,12582912,0,0,0,12,"[-1729157, -4806832, -1998111, -1465764, -1010876, -830948, -760341, -2987012]",1e:77:40:15:03:00:00:00:c0:00:00:e5:9d:7b:b6:a7:50:e1:82:e1:e9:a2:5c:f0:93:44:f3:52:1c:f4:65:eb:d2:6b:fc,b'\x1ew@\x15\x03\x00\x00\x00\xc0\x00\x00\xe5\x9d{\xb6\xa7P\xe1\x82\xe1\xe9\xa2\\\xf0\x93D\xf3R\x1c\xf4e\xeb\xd2k\xfc'
3,200,b'\xbe\x86@\x15\x04\x00\x00\x00\xc0\x00\x00\xe5\x89o\xb6\x9dy\xe1r\xfd\xe9\x93Y\xf0\x8a`\xf3I\x1f\xf4^\x8d\xd2`0',356550334,4,12582912,0,0,0,12,"[-1734289, -4809351, -2002179, -1469607, -1013152, -833249, -762227, -2990032]",be:86:40:15:04:00:00:00:c0:00:00:e5:89:6f:b6:9d:79:e1:72:fd:e9:93:59:f0:8a:60:f3:49:1f:f4:5e:8d:d2:60:30,b'\xbe\x86@\x15\x04\x00\x00\x00\xc0\x00\x00\xe5\x89o\xb6\x9dy\xe1r\xfd\xe9\x93Y\xf0\x8a`\xf3I\x1f\xf4^\x8d\xd2`0'
4,200,b'Y\x96@\x15\x05\x00\x00\x00\xc0\x00\x00\xe5_t\xb6\x82T\xe1S\xd8\xe9w&\xf0s\xf1\xf33D\xf4J\x87\xd2G\x88',356554329,5,12582912,0,0,0,12,"[-1745036, -4816300, -2010152, -1476826, -1018895, -838844, -767353, -2996344]",59:96:40:15:05:00:00:00:c0:00:00:e5:5f:74:b6:82:54:e1:53:d8:e9:77:26:f0:73:f1:f3:33:44:f4:4a:87:d2:47:88,b'Y\x96@\x15\x05\x00\x00\x00\xc0\x00\x00\xe5_t\xb6\x82T\xe1S\xd8\xe9w&\xf0s\xf1\xf33D\xf4J\x87\xd2G\x88'
5,200,b'\xf9\xa5@\x15\x06\x00\x00\x00\xc0\x00\x00\xe5Cz\xb6r.\xe1>5\xe9c\x87\xf0ff\xf3%\xd5\xf4>\x99\xd27\x1f',356558329,6,12582912,0,0,0,12,"[-1752198, -4820434, -2015691, -1481849, -1022362, -842283, -770407, -3000545]",f9:a5:40:15:06:00:00:00:c0:00:00:e5:43:7a:b6:72:2e:e1:3e:35:e9:63:87:f0:66:66:f3:25:d5:f4:3e:99:d2:37:1f,b'\xf9\xa5@\x15\x06\x00\x00\x00\xc0\x00\x00\xe5Cz\xb6r.\xe1>5\xe9c\x87\xf0ff\xf3%\xd5\xf4>\x99\xd27\x1f'
6,200,"b'\x99\xb5@\x15\x07\x00\x00\x00\xc0\x00\x00\xe59D\xb6p0\xe14\xd7\xe9Z\xac\xf0c\xfb\xf3""\xc8\xf4=\x05\xd20\xcc'",356562329,7,12582912,0,0,0,12,"[-1754812, -4820944, -2018089, -1484116, -1022981, -843064, -770811, -3002164]",99:b5:40:15:07:00:00:00:c0:00:00:e5:39:44:b6:70:30:e1:34:d7:e9:5a:ac:f0:63:fb:f3:22:c8:f4:3d:05:d2:30:cc,"b'\x99\xb5@\x15\x07\x00\x00\x00\xc0\x00\x00\xe59D\xb6p0\xe14\xd7\xe9Z\xac\xf0c\xfb\xf3""\xc8\xf4=\x05\xd20\xcc'"
7,200,"b""8\xc5@\x15\x08\x00\x00\x00\xc0\x00\x00\xe5)s\xb6i\xc1\xe1'\xdc\xe9Ns\xf0^\x1f\xf3\x1c\x8d\xf48q\xd2'A""",356566328,8,12582912,0,0,0,12,"[-1758861, -4822591, -2021412, -1487245, -1024481, -844659, -771983, -3004607]",38:c5:40:15:08:00:00:00:c0:00:00:e5:29:73:b6:69:c1:e1:27:dc:e9:4e:73:f0:5e:1f:f3:1c:8d:f4:38:71:d2:27:41,"b""8\xc5@\x15\x08\x00\x00\x00\xc0\x00\x00\xe5)s\xb6i\xc1\xe1'\xdc\xe9Ns\xf0^\x1f\xf3\x1c\x8d\xf48q\xd2'A"""
8,200,b'\xd4\xd4@\x15\t\x00\x00\x00\xc0\x00\x00\xe4\xfe\xec\xb6N\x13\xe1\x08u\xe921\xf0G\xa9\xf3\x06\x9e\xf4$\x82\xd2\x0el',356570324,9,12582912,0,0,0,12,"[-1769748, -4829677, -2029451, -1494479, -1030231, -850274, -777086, -3010964]",d4:d4:40:15:09:00:00:00:c0:00:00:e4:fe:ec:b6:4e:13:e1:08:75:e9:32:31:f0:47:a9:f3:06:9e:f4:24:82:d2:0e:6c,b'\xd4\xd4@\x15\t\x00\x00\x00\xc0\x00\x00\xe4\xfe\xec\xb6N\x13\xe1\x08u\xe921\xf0G\xa9\xf3\x06\x9e\xf4$\x82\xd2\x0el'
9,200,b's\xe4@\x15\n\x00\x00\x00\xc0\x00\x00\xe4\xde\xe3\xb6:\xc2\xe0\xf0i\xe9\x1c\x99\xf07\xad\xf2\xf6\xb6\xf4\x16\xb0\xd1\xfb\xcd',356574323,10,12582912,0,0,0,12,"[-1777949, -4834622, -2035607, -1500007, -1034323, -854346, -780624, -3015731]",73:e4:40:15:0a:00:00:00:c0:00:00:e4:de:e3:b6:3a:c2:e0:f0:69:e9:1c:99:f0:37:ad:f2:f6:b6:f4:16:b0:d1:fb:cd,b's\xe4@\x15\n\x00\x00\x00\xc0\x00\x00\xe4\xde\xe3\xb6:\xc2\xe0\xf0i\xe9\x1c\x99\xf07\xad\xf2\xf6\xb6\xf4\x16\xb0\xd1\xfb\xcd'
10,200,b'\x13\xf4@\x15\x0b\x00\x00\x00\xc0\x00\x00\xe4\xd0\xe3\xb65\xa2\xe0\xe4\xa8\xe9\x11\xe6\xf03\x00\xf2\xf1V\xf4\x13_\xd1\xf3i',356578323,11,12582912,0,0,0,12,"[-1781533, -4835934, -2038616, -1502746, -1035520, -855722, -781473, -3017879]",13:f4:40:15:0b:00:00:00:c0:00:00:e4:d0:e3:b6:35:a2:e0:e4:a8:e9:11:e6:f0:33:00:f2:f1:56:f4:13:5f:d1:f3:69,b'\x13\xf4@\x15\x0b\x00\x00\x00\xc0\x00\x00\xe4\xd0\xe3\xb65\xa2\xe0\xe4\xa8\xe9\x11\xe6\xf03\x00\xf2\xf1V\xf4\x13_\xd1\xf3i'
11,200,b'\xb3\x03A\x15\x0c\x00\x00\x00\xc0\x00\x00\xe4\xc4\xa1\xb61\xf2\xe0\xda\r\xe9\x089\xf0/\x96\xf2\xed\x14\xf4\x113\xd1\xec\x04',356582323,12,12582912,0,0,0,12,"[-1784671, -4836878, -2041331, -1505223, -1036394, -856812, -782029, -3019772]",b3:03:41:15:0c:00:00:00:c0:00:00:e4:c4:a1:b6:31:f2:e0:da:0d:e9:08:39:f0:2f:96:f2:ed:14:f4:11:33:d1:ec:04,b'\xb3\x03A\x15\x0c\x00\x00\x00\xc0\x00\x00\xe4\xc4\xa1\xb61\xf2\xe0\xda\r\xe9\x089\xf0/\x96\xf2\xed\x14\xf4\x113\xd1\xec\x04'
12,200,"b""S\x13A\x15\r\x00\x00\x00\xc0\x00\x00\xe4\x9bt\xb6\x17U\xe0\xbbZ\xe8\xec\xde\xf0\x1a'\xf2\xd7\xb1\xf3\xfe@\xd1\xd3\xa2""",356586323,13,12582912,0,0,0,12,"[-1795212, -4843691, -2049190, -1512226, -1041881, -862287, -786880, -3026014]",53:13:41:15:0d:00:00:00:c0:00:00:e4:9b:74:b6:17:55:e0:bb:5a:e8:ec:de:f0:1a:27:f2:d7:b1:f3:fe:40:d1:d3:a2,"b""S\x13A\x15\r\x00\x00\x00\xc0\x00\x00\xe4\x9bt\xb6\x17U\xe0\xbbZ\xe8\xec\xde\xf0\x1a'\xf2\xd7\xb1\xf3\xfe@\xd1\xd3\xa2"""
13,200,"b'\xee""A\x15\x0e\x00\x00\x00\xc0\x00\x00\xe4w\xb9\xb6\x00\xf8\xe0\xa0T\xe8\xd4\xc1\xf0\x08\x0e\xf2\xc5\xa0\xf3\xeei\xd1\xbeF'",356590318,14,12582912,0,0,0,12,"[-1804359, -4849416, -2056108, -1518399, -1046514, -866912, -790935, -3031482]",ee:22:41:15:0e:00:00:00:c0:00:00:e4:77:b9:b6:00:f8:e0:a0:54:e8:d4:c1:f0:08:0e:f2:c5:a0:f3:ee:69:d1:be:46,"b'\xee""A\x15\x0e\x00\x00\x00\xc0\x00\x00\xe4w\xb9\xb6\x00\xf8\xe0\xa0T\xe8\xd4\xc1\xf0\x08\x0e\xf2\xc5\xa0\xf3\xeei\xd1\xbeF'"
