,C,D,timestamp,sample_number,ads_status,ads_gpio,loff_statn,loff_statp,extra,channel_data,data_hex,data_raw
10,200,b'\xcc\xa2c\x11\x0b\x00\x00\x00\xc0\x00\x00\xfc\xefG\xd5\x98\x00\xfc\xea\xe7\xfe\x17\x08\xfe\xbc\x1e\xfe\xa9\x81\xff~\x92\xfb\xf2\xd8',291742412,11,12582912,0,0,0,12,"[-200889, -2779136, -202009, -125176, -82914, -87679, -33134, -265512]",cc:a2:63:11:0b:00:00:00:c0:00:00:fc:ef:47:d5:98:00:fc:ea:e7:fe:17:08:fe:bc:1e:fe:a9:81:ff:7e:92:fb:f2:d8,b'\xcc\xa2c\x11\x0b\x00\x00\x00\xc0\x00\x00\xfc\xefG\xd5\x98\x00\xfc\xea\xe7\xfe\x17\x08\xfe\xbc\x1e\xfe\xa9\x81\xff~\x92\xfb\xf2\xd8'
11,200,b'h\xb2c\x11\x0c\x00\x00\x00\xc0\x00\x00\xfc\xf5\x8a\xd5\x82\x02\xfc\xf2\x8d\xfe\x1f\x1e\xfe\xc7\xdd\xfe\xaf\xe1\xff\x84g\xfb\xf8\xf1',291746408,12,12582912,0,0,0,12,"[-199286, -2784766, -200051, -123106, -79907, -86047, -31641, -263951]",68:b2:63:11:0c:00:00:00:c0:00:00:fc:f5:8a:d5:82:02:fc:f2:8d:fe:1f:1e:fe:c7:dd:fe:af:e1:ff:84:67:fb:f8:f1,b'h\xb2c\x11\x0c\x00\x00\x00\xc0\x00\x00\xfc\xf5\x8a\xd5\x82\x02\xfc\xf2\x8d\xfe\x1f\x1e\xfe\xc7\xdd\xfe\xaf\xe1\xff\x84g\xfb\xf8\xf1'
12,200,b'\x07\xc2c\x11\r\x00\x00\x00\xc0\x00\x00\xfc\xf5\x91\xd5f\xe4\xfc\xf5\xd0\xfe#\xab\xfe\xcf\xd7\xfe\xb2\xb7\xff\x86\xc2\xfb\xfbi',291750407,13,12582912,0,0,0,12,"[-199279, -2791708, -199216, -121941, -77865, -85321, -31038, -263319]",07:c2:63:11:0d:00:00:00:c0:00:00:fc:f5:91:d5:66:e4:fc:f5:d0:fe:23:ab:fe:cf:d7:fe:b2:b7:ff:86:c2:fb:fb:69,b'\x07\xc2c\x11\r\x00\x00\x00\xc0\x00\x00\xfc\xf5\x91\xd5f\xe4\xfc\xf5\xd0\xfe#\xab\xfe\xcf\xd7\xfe\xb2\xb7\xff\x86\xc2\xfb\xfbi'
13,200,b'\xa7\xd1c\x11\x0e\x00\x00\x00\xc0\x00\x00\xfc\xe4\x0e\xd5=\xfa\xfc\xedZ\xfe\x1dY\xfe\xcd \xfe\xab\xc1\xff\x7f\xde\xfb\xf4\xbd',291754407,14,12582912,0,0,0,12,"[-203762, -2802182, -201382, -123559, -78560, -87103, -32802, -265027]",a7:d1:63:11:0e:00:00:00:c0:00:00:fc:e4:0e:d5:3d:fa:fc:ed:5a:fe:1d:59:fe:cd:20:fe:ab:c1:ff:7f:de:fb:f4:bd,b'\xa7\xd1c\x11\x0e\x00\x00\x00\xc0\x00\x00\xfc\xe4\x0e\xd5=\xfa\xfc\xedZ\xfe\x1dY\xfe\xcd \xfe\xab\xc1\xff\x7f\xde\xfb\xf4\xbd'
14,200,b'F\xe1c\x11\x0f\x00\x00\x00\xc0\x00\x00\xfc\xdba\xd5\x1b\x90\xfc\xeb&\xfe\x1a\xa0\xfe\xcf\xd0\xfe\xa9\xab\xff}\xeb\xfb\xf3#',291758406,15,12582912,0,0,0,12,"[-205983, -2810992, -201946, -124256, -77872, -87637, -33301, -265437]",46:e1:63:11:0f:00:00:00:c0:00:00:fc:db:61:d5:1b:90:fc:eb:26:fe:1a:a0:fe:cf:d0:fe:a9:ab:ff:7d:eb:fb:f3:23,b'F\xe1c\x11\x0f\x00\x00\x00\xc0\x00\x00\xfc\xdba\xd5\x1b\x90\xfc\xeb&\xfe\x1a\xa0\xfe\xcf\xd0\xfe\xa9\xab\xff}\xeb\xfb\xf3#'
15,200,b'\xe6\xf0c\x11\x10\x00\x00\x00\xc0\x00\x00\xfc\xdf\xe0\xd5\x03!\xfc\xf1\xb2\xfe\x1f\xe6\xfe\xda\x80\xfe\xaf\n\xff\x82\xc7\xfb\xf8.',291762406,16,12582912,0,0,0,12,"[-204832, -2817247, -200270, -122906, -75136, -86262, -32057, -264146]",e6:f0:63:11:10:00:00:00:c0:00:00:fc:df:e0:d5:03:21:fc:f1:b2:fe:1f:e6:fe:da:80:fe:af:0a:ff:82:c7:fb:f8:2e,b'\xe6\xf0c\x11\x10\x00\x00\x00\xc0\x00\x00\xfc\xdf\xe0\xd5\x03!\xfc\xf1\xb2\xfe\x1f\xe6\xfe\xda\x80\xfe\xaf\n\xff\x82\xc7\xfb\xf8.'
16,200,b'\x86\x00d\x11\x11\x00\x00\x00\xc0\x00\x00\xfc\xe3t\xd4\xe9\xd2\xfc\xf7x\xfe$\x9e\xfe\xe4\xaa\xfe\xb3\xcf\xff\x86\xff\xfb\xfcp',291766406,17,12582912,0,0,0,12,"[-203916, -2823726, -198792, -121698, -72534, -85041, -30977, -263056]",86:00:64:11:11:00:00:00:c0:00:00:fc:e3:74:d4:e9:d2:fc:f7:78:fe:24:9e:fe:e4:aa:fe:b3:cf:ff:86:ff:fb:fc:70,b'\x86\x00d\x11\x11\x00\x00\x00\xc0\x00\x00\xfc\xe3t\xd4\xe9\xd2\xfc\xf7x\xfe$\x9e\xfe\xe4\xaa\xfe\xb3\xcf\xff\x86\xff\xfb\xfcp'
17,200,b'!\x10d\x11\x12\x00\x00\x00\xc0\x00\x00\xfc\xd36\xd4\xc0\xc1\xfc\xef\xc6\xfe\x1d\xbd\xfe\xe2\xdb\xfe\xadc\xff\x80\x81\xfb\xf6+',291770401,18,12582912,0,0,0,12,"[-208074, -2834239, -200762, -123459, -72997, -86685, -32639, -264661]",21:10:64:11:12:00:00:00:c0:00:00:fc:d3:36:d4:c0:c1:fc:ef:c6:fe:1d:bd:fe:e2:db:fe:ad:63:ff:80:81:fb:f6:2b,b'!\x10d\x11\x12\x00\x00\x00\xc0\x00\x00\xfc\xd36\xd4\xc0\xc1\xfc\xef\xc6\xfe\x1d\xbd\xfe\xe2\xdb\xfe\xadc\xff\x80\x81\xfb\xf6+'
18,200,b'\xc1\x1fd\x11\x13\x00\x00\x00\xc0\x00\x00\xfc\xc9\x01\xd4\x9c8\xfc\xec[\xfe\x1a\x95\xfe\xe4\x9b\xfe\xaa\x0f\xff}_\xfb\xf3l',291774401,19,12582912,0,0,0,12,"[-210687, -2843592, -201637, -124267, -72549, -87537, -33441, -265364]",c1:1f:64:11:13:00:00:00:c0:00:00:fc:c9:01:d4:9c:38:fc:ec:5b:fe:1a:95:fe:e4:9b:fe:aa:0f:ff:7d:5f:fb:f3:6c,b'\xc1\x1fd\x11\x13\x00\x00\x00\xc0\x00\x00\xfc\xc9\x01\xd4\x9c8\xfc\xec[\xfe\x1a\x95\xfe\xe4\x9b\xfe\xaa\x0f\xff}_\xfb\xf3l'
19,200,b'a/d\x11\x14\x00\x00\x00\xc0\x00\x00\xfc\xcd>\xd4\x82p\xfc\xf1\xb1\xfe\x1e\x99\xfe\xeeS\xfe\xae4\xff\x81\x14\xfb\xf7V',291778401,20,12582912,0,0,0,12,"[-209602, -2850192, -200271, -123239, -70061, -86476, -32492, -264362]",61:2f:64:11:14:00:00:00:c0:00:00:fc:cd:3e:d4:82:70:fc:f1:b1:fe:1e:99:fe:ee:53:fe:ae:34:ff:81:14:fb:f7:56,b'a/d\x11\x14\x00\x00\x00\xc0\x00\x00\xfc\xcd>\xd4\x82p\xfc\xf1\xb1\xfe\x1e\x99\xfe\xeeS\xfe\xae4\xff\x81\x14\xfb\xf7V'
20,200,b'\x01?d\x11\x15\x00\x00\x00\xc0\x00\x00\xfc\xd8\x07\xd4m\x9b\xfc\xf9I\xfe$\xd9\xfe\xfa2\xfe\xb4n\xff\x86\xbc\xfb\xfd\x0f',291782401,21,12582912,0,0,0,12,"[-206841, -2855525, -198327, -121639, -67022, -84882, -31044, -262897]",01:3f:64:11:15:00:00:00:c0:00:00:fc:d8:07:d4:6d:9b:fc:f9:49:fe:24:d9:fe:fa:32:fe:b4:6e:ff:86:bc:fb:fd:0f,b'\x01?d\x11\x15\x00\x00\x00\xc0\x00\x00\xfc\xd8\x07\xd4m\x9b\xfc\xf9I\xfe$\xd9\xfe\xfa2\xfe\xb4n\xff\x86\xbc\xfb\xfd\x0f'
21,200,b'\xa0Nd\x11\x16\x00\x00\x00\xc0\x00\x00\xfc\xce\x1d\xd4IU\xfc\xf2\xc5\xfe\x1f\x0c\xfe\xf9\xc2\xfe\xaf(\xff\x81U\xfb\xf7\xcc',291786400,22,12582912,0,0,0,12,"[-209379, -2864811, -199995, -123124, -67134, -86232, -32427, -264244]",a0:4e:64:11:16:00:00:00:c0:00:00:fc:ce:1d:d4:49:55:fc:f2:c5:fe:1f:0c:fe:f9:c2:fe:af:28:ff:81:55:fb:f7:cc,b'\xa0Nd\x11\x16\x00\x00\x00\xc0\x00\x00\xfc\xce\x1d\xd4IU\xfc\xf2\xc5\xfe\x1f\x0c\xfe\xf9\xc2\xfe\xaf(\xff\x81U\xfb\xf7\xcc'
22,200,b'<^d\x11\x17\x00\x00\x00\xc0\x00\x00\xfc\xc5\xc1\xd4&\xe3\xfc\xed\x99\xfe\x1a\x93\xfe\xfai\xfe\xaa\x94\xff}\x19\xfb\xf3\xe9',291790396,23,12582912,0,0,0,12,"[-211519, -2873629, -201319, -124269, -66967, -87404, -33511, -265239]",3c:5e:64:11:17:00:00:00:c0:00:00:fc:c5:c1:d4:26:e3:fc:ed:99:fe:1a:93:fe:fa:69:fe:aa:94:ff:7d:19:fb:f3:e9,b'<^d\x11\x17\x00\x00\x00\xc0\x00\x00\xfc\xc5\xc1\xd4&\xe3\xfc\xed\x99\xfe\x1a\x93\xfe\xfai\xfe\xaa\x94\xff}\x19\xfb\xf3\xe9'
23,200,b'\xdbmd\x11\x18\x00\x00\x00\xc0\x00\x00\xfc\xca\xbd\xd4\x19{\xfc\xf1-\xfe\x1dY\xff\x02\xe0\xfe\xadn\xff\x7f\x99\xfb\xf6\x8d',291794395,24,12582912,0,0,0,12,"[-210243, -2877061, -200403, -123559, -64800, -86674, -32871, -264563]",db:6d:64:11:18:00:00:00:c0:00:00:fc:ca:bd:d4:19:7b:fc:f1:2d:fe:1d:59:ff:02:e0:fe:ad:6e:ff:7f:99:fb:f6:8d,b'\xdbmd\x11\x18\x00\x00\x00\xc0\x00\x00\xfc\xca\xbd\xd4\x19{\xfc\xf1-\xfe\x1dY\xff\x02\xe0\xfe\xadn\xff\x7f\x99\xfb\xf6\x8d'
24,200,"b'{}d\x11\x19\x00\x00\x00\xc0\x00\x00\xfc\xd7\x7f\xd4""[\xfc\xf9\xbe\xfe$\x88\xff\x0f\xb7\xfe\xb4\x88\xff\x86\x1c\xfb\xfd-'",291798395,25,12582912,0,0,0,12,"[-206977, -2874789, -198210, -121720, -61513, -84856, -31204, -262867]",7b:7d:64:11:19:00:00:00:c0:00:00:fc:d7:7f:d4:22:5b:fc:f9:be:fe:24:88:ff:0f:b7:fe:b4:88:ff:86:1c:fb:fd:2d,"b'{}d\x11\x19\x00\x00\x00\xc0\x00\x00\xfc\xd7\x7f\xd4""[\xfc\xf9\xbe\xfe$\x88\xff\x0f\xb7\xfe\xb4\x88\xff\x86\x1c\xfb\xfd-'"
25,200,b'\x1b\x8dd\x11\x1a\x00\x00\x00\xc0\x00\x00\xfc\xd0\xc6\xd4\x1e~\xfc\xf5+\xfe \x8f\xff\r\xe3\xfe\xb0\xe8\xff\x82T\xfb\xf9\x7f',291802395,26,12582912,0,0,0,12,"[-208698, -2875778, -199381, -122737, -61981, -85784, -32172, -263809]",1b:8d:64:11:1a:00:00:00:c0:00:00:fc:d0:c6:d4:1e:7e:fc:f5:2b:fe:20:8f:ff:0d:e3:fe:b0:e8:ff:82:54:fb:f9:7f,b'\x1b\x8dd\x11\x1a\x00\x00\x00\xc0\x00\x00\xfc\xd0\xc6\xd4\x1e~\xfc\xf5+\xfe \x8f\xff\r\xe3\xfe\xb0\xe8\xff\x82T\xfb\xf9\x7f'
26,200,b'\xba\x9cd\x11\x1b\x00\x00\x00\xc0\x00\x00\xfc\xc6j\xd4\x15\xd3\xfc\xee\xa5\xfe\x1a\xe4\xff\x08\x95\xfe\xab/\xff}\x17\xfb\xf4\x91',291806394,27,12582912,0,0,0,12,"[-211350, -2877997, -201051, -124188, -63339, -87249, -33513, -265071]",ba:9c:64:11:1b:00:00:00:c0:00:00:fc:c6:6a:d4:15:d3:fc:ee:a5:fe:1a:e4:ff:08:95:fe:ab:2f:ff:7d:17:fb:f4:91,b'\xba\x9cd\x11\x1b\x00\x00\x00\xc0\x00\x00\xfc\xc6j\xd4\x15\xd3\xfc\xee\xa5\xfe\x1a\xe4\xff\x08\x95\xfe\xab/\xff}\x17\xfb\xf4\x91'
